house_link,house_price,house_title,published_in
https://albany.craigslist.org/apa/d/albany-colonie-house-for-rent/7504819517.html,"$1,150",Colonie house for rent,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-attention-amc-graduate-students/7499088145.html,"$1,200",Attention AMC & Graduate Students - 2 Bedroom - Quiet Building - (30),2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-268-quail-street-walking/7497464659.html,$925,268 Quail Street - Walking Distance To Albany Med - Video Tour (Apt 3),2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-280-state-st-garden-level-studio/7497471081.html,$835,280 State St - Garden Level Studio - Hardwoods - Granite - Video Tour,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-357-morris-st-apt-attention/7497482251.html,$960,357 Morris St Apt 4 - Attention Grads / Phd / AMC Students - Hardwoods,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-280-state-street-beautiful/7497474066.html,"$1,600",280 State Street - Beautiful 2 Bedroom - Hardwoods 1st Floor Unit (5),2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-center-square-bedroom-close-to/7497467821.html,"$1,450",Center Square - 2 Bedroom - Close To LOB & Capitol - Video Tour In Ad,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-center-square-huge-bedroom/7499738522.html,"$1,525",Center Square - Huge 1 Bedroom Apartment - 1.5 Bathrooms - Video Tour,2022-07-04 23:51
https://albany.craigslist.org/apa/d/glenmont-two-bedroom/7504780866.html,"$1,300",Two bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-beautiful-bedroom-plus-office/7504764884.html,"$1,650",*** BEAUTIFUL 2 BEDROOM PLUS OFFICE NEAR WASHINGTON PARK ***,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-beautiful-bedroom-plus-office-on/7504763522.html,"$1,650",*** BEAUTIFUL 2 BEDROOM PLUS OFFICE ON WASHINGTON PARK ***,2022-07-04 23:51
https://albany.craigslist.org/apa/d/amsterdam-2br-apartment-for-sale/7504761178.html,"$1,000",2BR APARTMENT FOR SALE,2022-07-04 23:51
https://albany.craigslist.org/apa/d/amsterdam-3br-apartment-for-rent/7504758843.html,"$1,100",3BR APARTMENT FOR RENT,2022-07-04 23:51
https://albany.craigslist.org/apa/d/bedroom-all-utilities-inc-country/7504757006.html,"$1,100",1 bedroom All utilities inc. country setting,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-25-bdrms-big-and-beautiful/7504755771.html,"$1,200",2.5 Bdrms-Big and Beautiful,2022-07-04 23:51
https://albany.craigslist.org/apa/d/cohoes-bedroom-all-utilities-inc/7504754905.html,"$1,800",2 bedroom All utilities inc. country setting,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-guilderland-studio-all/7502574511.html,$895,Guilderland Studio -ALL Utilities Included,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-quiet-studio-apt-prime-dntn/7495857914.html,$665,Quiet Studio Apt. Prime Dntn Area  TEXT ONLY TO REPLY,2022-07-04 23:51
https://albany.craigslist.org/apa/d/cohoes-studio-all-utilities-included/7504746537.html,$850,Studio All utilities included,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-nice-bedroom/7504746105.html,$735,Nice 1 bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-great-one-bedroom/7504745003.html,"$1,250",Great one bedroom!,2022-07-04 23:51
https://albany.craigslist.org/apa/d/northville-amazing-large-bed-bath-prime/7503720761.html,"$1,040",AMAZING LARGE 1 BED 1 BATH PRIME LOCATION,2022-07-04 23:51
https://albany.craigslist.org/apa/d/victory-mills-5000-sf-industrial-shop/7504720328.html,$700,"5,000 SF INDUSTRIAL SHOP/WAREHOUSE-RV SHOP-OUTSIDE STORAGE",2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-office-outside-storage-take-or/7504720000.html,$590,OFFICE- OUTSIDE STORAGE- take 1 or All,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-remodeled-bedrooms-1st/7504662265.html,"$1,500",Remodeled 3 Bedrooms 1st Floor 1 Car Garage Parking Included,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-attention-medical-students/7504662088.html,"$1,375",Attention: Medical Students & Albany College of Pharmacy - 3 Bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-big-bedroom-1st-floor/7498027473.html,"$1,500",Big 4 Bedroom 1st Floor,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-spacious-bedroom-newly-remodeled/7503007366.html,"$1,400",Spacious 2 Bedroom Newly Remodeled Private Home,2022-07-04 23:51
https://albany.craigslist.org/apa/d/cohoes-waterford-village-apartments/7503160124.html,"$1,300",Waterford Village Apartments,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-small-one-bedroom/7496881249.html,$700,SMALL one bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-beautiful-bedroom-office-ideal/7504650217.html,"$1,100",Beautiful 1 Bedroom & Office - Ideal For AMC student - Balcony,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-762-madison-ave-2nd-floor/7504648831.html,"$1,150",762 Madison Ave - 2nd Floor - 2 Bedroom - Video Tour (2C),2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-new-roof-d-this-3br-2ba-apt-for/7504607776.html,"$1,220",new roof w/d this 3BR / 2Ba apt for a lovely family..!,2022-07-04 23:51
https://albany.craigslist.org/apa/d/amsterdam-must-apply-with-the-amsterdam/7494299787.html,$25,Must Apply with the Amsterdam Housing Authority First - Open Waitlist,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-gorgeous-bedroom-bath/7504600556.html,"$1,200",Gorgeous 2 bedroom/1 bath,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-large-room-albany-med-capital/7504578148.html,$525,"Large Room - Albany Med, Capital, UAlbany",2022-07-04 23:51
https://albany.craigslist.org/apa/d/cohoes-riverfront-very-small-house/7504586029.html,"$1,395",Riverfront Very Small House,2022-07-04 23:51
https://albany.craigslist.org/apa/d/brooklyn-new-bathroom-hardwood-floors/7502607247.html,"$1,040",new bathroom hardwood floors renovations done,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-beautiful-bedroom-near-suny/7497272133.html,"$1,635",✅✅✅✅✅Beautiful 3 Bedroom near SUNY & St.ROSE,2022-07-04 23:51
https://albany.craigslist.org/apa/d/swan-lake-apartment-in-exchange-for/7504547518.html,$1,Apartment in exchange for handyman,2022-07-04 23:51
https://albany.craigslist.org/apa/d/valatie-unique-1bedroom-apt-in-historic/7494297383.html,"$1,125",Unique -1bedroom apt. in historic brick building,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-luxury-1br-on-washington-park/7503638870.html,"$1,375",Luxury 1BR on Washington Park - Room with a View,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-large-bedroom-1st-floor-apartment/7495826547.html,"$1,200",Large 2-Bedroom 1st Floor Apartment,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-great-downtown-albany-location/7493404875.html,$975,Great downtown Albany location,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-beautiful-bedroom-plus-office-on/7504533302.html,"$1,650",*** BEAUTIFUL 2 BEDROOM PLUS OFFICE ON WASHINGTON PARK ***,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-beautiful-bedroom-plus-office/7504533286.html,"$1,650",*** BEAUTIFUL 2 BEDROOM PLUS OFFICE NEAR WASHINGTON PARK ***,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-beautiful-remodeled/7504526924.html,$940,Beautiful remodeled apartment in Rotterdam!,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-apartment-for-rent-2bed/7504472452.html,"$1,395","Apartment for rent: 2bed, 1bath",2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-br-apt-all-utilities-includedbus/7492235792.html,"$1,150","1 br  APT ALL UTILITIES INCLUDED,BUS LINE",2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-beautiful-remodeled-single/7504452285.html,$750,Beautiful Remodeled Single family home with 2 bedrooms 1 bath in the U,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-large-1br-enclosed-porch-and-eat/7502576699.html,$850,Large 1BR w/ enclosed porch and eat-in kitchen,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-large-renovated-loft-style/7494372816.html,"$1,600",LARGE RENOVATED LOFT-STYLE APARTMENT - INCLUDES PARKING,2022-07-04 23:51
https://albany.craigslist.org/apa/d/amsterdam-bedroom-apartment-for-rent/7502656842.html,"$1,300",4 bedroom apartment for rent,2022-07-04 23:51
https://albany.craigslist.org/apa/d/amsterdam-bedroom-apartment-for-rent/7502655704.html,"$1,300",4 bedroom apartment for rent,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-newly-renovated-freshly/7504334537.html,$710,Newly renovated freshly painted. Two newer furnaces,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-fully-updated-bed-bathroom-home/7504314043.html,"$1,350",Fully updated 3 bed 2 bathroom home,2022-07-04 23:51
https://albany.craigslist.org/apa/d/jackson-ave-schenectady-one-bedroom/7503360896.html,$895,"Jackson Ave., Schenectady, 1 one bedroom, with utilities.  $895",2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-4-bedroom-2nd-floor-995-month/7504310324.html,$995,3-4 bedroom 2nd floor  $995 a month,2022-07-04 23:51
https://albany.craigslist.org/apa/d/glenmont-bedroom-duplex-apartment/7504306189.html,"$1,850",3 Bedroom Duplex Apartment,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-large-room-albany-med-capital/7504271039.html,$525,"Large Room - Albany Med, Capital, UAlbany",2022-07-04 23:51
https://albany.craigslist.org/apa/d/waterford-br-duplex-on-quite-cul-de-sac/7503099931.html,"$1,300",2 BR Duplex on quite cul de sac,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-bedroom/7495468903.html,$850,1 bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-excellent-bdr-available-july/7495167068.html,"$1,500","►► Excellent 3 BDR, Available July 1 2022, Harris Av, 1 Floor",2022-07-04 23:51
https://albany.craigslist.org/apa/d/middle-grove-beautiful-one-bedroom-one/7504242584.html,$825,"Beautiful one bedroom, one bathroom located in Middle Grove, NY",2022-07-04 23:51
https://albany.craigslist.org/apa/d/ballston-spa-furnished-bedroom-townhome/7496771419.html,"$2,300",Furnished 3 Bedroom Townhome Central AC New Appliances Pet Friendly,2022-07-04 23:51
https://albany.craigslist.org/apa/d/guilderland-beautiful-2br-ready-now/7504241956.html,"$1,593","Beautiful  2br, READY NOW",2022-07-04 23:51
https://albany.craigslist.org/apa/d/guilderland-beautiful-bedroom/7504241330.html,"$1,733",Beautiful 2 Bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/guilderland-beautiful-2br/7504240907.html,"$1,598",Beautiful  2br,2022-07-04 23:51
https://albany.craigslist.org/apa/d/galway-apartment/7504232352.html,$975,Apartment,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-gorgeous-modern-two-bedroom/7496542171.html,"$1,800","Gorgeous, Modern two bedroom",2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-beautiful-25-bedroom/7504213781.html,$950,**Beautiful 2.5 Bedroom apartment.,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-bedroom-center-square/7504213468.html,$995,2 bedroom center square,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-big-bedroom-1st-floor/7497894162.html,"$1,500",Big 4 Bedroom 1st Floor,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-remodeled-bedrooms-1st/7503411858.html,"$1,500",Remodeled 3 Bedrooms 1st Floor 1 Car Garage Parking Included,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-spacious-bedroom-newly-remodeled/7503417246.html,"$1,400",Spacious 2 Bedroom Newly Remodeled Private Home,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-1bedroom-apts-available-now/7503110351.html,$912,1Bedroom Apts. Available Now,2022-07-04 23:51
https://albany.craigslist.org/apa/d/pinetree-apartments-free-internet-cable/7502203120.html,"$1,186",// PINETREE APARTMENTS/ Free Internet & Cable,2022-07-04 23:51
https://albany.craigslist.org/apa/d/large-spacious-bedroom-apts/7501378136.html,"$1,172","Large, Spacious 2 bedroom Apts.",2022-07-04 23:51
https://albany.craigslist.org/apa/d/large-spacious-bedroom-apts/7497195483.html,"$1,171","Large, Spacious 2 bedroom Apts.",2022-07-04 23:51
https://albany.craigslist.org/apa/d/all-new-brs-no-sec-free-hot-water/7496326005.html,$898,All New 1 BR's / No sec./  Free Hot Water,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-studio-apts-available-now/7494243914.html,$819,Studio Apts. Available Now,2022-07-04 23:51
https://albany.craigslist.org/apa/d/watervliet-975-2br-great-bright-clean/7492525742.html,$975,"$975 / 2br - Great, bright, clean, Move in today (4th St., Troy, NY)",2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-br-available-now-pawling-ave-troy/7496326115.html,"$1,207","$1207 /2Br Available Now, Pawling Ave., Troy",2022-07-04 23:51
https://albany.craigslist.org/apa/d/pinetree-apartments-free-internet-cable/7500140093.html,$986,// PINETREE APARTMENTS/ Free Internet & Cable,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-large-bedroom/7499052763.html,"$1,350",large 3 bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-bedroom/7499049250.html,$950,1 bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-nice-2nd-fl-bedroom/7499045967.html,$995,nice 2nd fl 2 bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-beautiful-spacious-bed-bath/7504194004.html,$980,"Beautiful, spacious 2 bed 1 Bath Apartment at Broadway",2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-nice-section-apartment-available/7502804807.html,$975,"Nice Section 8 Apartment available, Quiet neighborhood",2022-07-04 23:51
https://albany.craigslist.org/apa/d/schaghticoke-bedroom-home-for-rent/7499184231.html,"$1,550",2 bedroom home for rent,2022-07-04 23:51
https://albany.craigslist.org/apa/d/esperance-4br-15-bath-large-house-for/7497507635.html,"$1,900",4br 1.5 bath large house for rent,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-spacious-bed-bath-duplex-in/7504076686.html,$750,"@@Spacious 2 bed, 1 bath Duplex in Albany, NY!!",2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-spacious-bed-bath-duplex-in/7504076685.html,$750,"@@Spacious 2 bed, 1 bath Duplex in Albany, NY!!",2022-07-04 23:51
https://albany.craigslist.org/apa/d/saratoga-springs-summer-on-east-side/7504045333.html,"$2,000",Summer on East side near the track in town Saratoga Sprgs,2022-07-04 23:51
https://albany.craigslist.org/apa/d/saratoga-springs-summer-on-east-side/7504042681.html,"$2,000",Summer on East side near the track in town Saratoga Sprgs,2022-07-04 23:51
https://albany.craigslist.org/apa/d/saratoga-springs-summer-on-east-side/7504039033.html,"$2,000",Summer on East side near the track in town Saratoga Sprgs,2022-07-04 23:51
https://albany.craigslist.org/apa/d/saratoga-springs-bdrm-in-saratoga/7504038839.html,"$2,300",2 bdrm in Saratoga Springs includes utilities & furnished clean & cozy,2022-07-04 23:51
https://albany.craigslist.org/apa/d/saratoga-springs-september-in-saratoga/7504038258.html,"$2,300",September in Saratoga 2 bdrm rental incl util furnished clean & cozy,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-convenient-downtown-albany/7504037262.html,$975,Convenient downtown Albany location,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-bedroom-bath-apartment-355-state/7504015210.html,"$1,800","2 Bedroom 2 bath Apartment 355 State Street, Center Square Albany NY",2022-07-04 23:51
https://albany.craigslist.org/apa/d/jackson-ave-schenectady-one-bedroom-2nd/7492898654.html,$865,"Jackson Ave., Schenectady, 1 one bedroom, 2nd Fl with utilities.  $865",2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-the-lofts-at-frog-alley-1br/7503965913.html,"$2,034",The Lofts at Frog Alley  1BR 1BA  with Balcony #402,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-electric-city-luxury/7503965335.html,"$1,935",Electric City Luxury apartments 1BA 1BA with balcony #208,2022-07-04 23:51
https://albany.craigslist.org/apa/d/port-ewen-completely-renovated-bdrm/7492129479.html,"$1,145",Completely Renovated 1 Bdrm Near Rondout Dist. in Kingston,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-large-renovated-in-charming/7502939851.html,"$1,095",Large Renovated in Charming Stockade Dist Schenectady,2022-07-04 23:51
https://albany.craigslist.org/apa/d/castleton-on-hudson-spacious-sun-filled/7502930522.html,"$1,445",Spacious & Sun Filled 2 Bed in Schodack,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-beautiful-bedroom-2nd-floor-unit/7503949216.html,"$1,500",BEAUTIFUL 3-BEDROOM 2nd FLOOR UNIT WITH BALCONY at 390 Morris Street,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-house-for-rent/7503945623.html,"$2,300",House for Rent,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-troy-nicely-renovated-br/7503919010.html,"$1,250",Troy - nicely renovated 4 BR,2022-07-04 23:51
https://albany.craigslist.org/apa/d/valley-falls-bedroom-flat/7493794804.html,"$1,200",3 bedroom flat,2022-07-04 23:51
https://albany.craigslist.org/apa/d/guilderland-bedroom-newly-renovated/7503885476.html,"$1,708",2 Bedroom - Newly Renovated - Heat & Hot Water Included,2022-07-04 23:51
https://albany.craigslist.org/apa/d/guilderland-bedroom-heat-and-hot-water/7503884134.html,"$1,593",2 Bedroom - Heat and Hot Water INCLUDED,2022-07-04 23:51
https://albany.craigslist.org/apa/d/guilderland-youll-want-to-see-this/7503883089.html,"$1,593",You'll Want to See This,2022-07-04 23:51
https://albany.craigslist.org/apa/d/cherry-hill-apartments-152-mccarthy-ave/7497607234.html,"$1,075",Cherry Hill Apartments 152 McCarthy Ave,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-gorgeous-modern-bedroom/7501510056.html,"$1,800","Gorgeous, Modern 2 bedroom",2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-attractive-bedroom/7503869627.html,$875,Attractive 2 bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-large-bedroom-across-street-from/7503863722.html,"$1,300",Large 1 Bedroom Across Street from UAlbany,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-van-vranken-near-union/7503862881.html,$800,Van Vranken/Near Union College,2022-07-04 23:51
https://albany.craigslist.org/apa/d/clifton-park-925-one-bedroom-hw-included/7503861681.html,$925,$925 One Bedroom - H/HW Included,2022-07-04 23:51
https://albany.craigslist.org/apa/d/clifton-park-bedroom-hw-included/7493467795.html,$925,1 Bedroom H/HW Included,2022-07-04 23:51
